Year,Group,Cohort,Occupation Number,Weighted Total People in Occ,Avg Occ Income,Education,Wage
2010,1,1,42,245668.0,20256.7,11.4,9.4
2010,1,1,43,23131.0,28897.5,12.0,12.3
2010,1,1,44,390498.0,37339.9,12.5,16.5
2010,1,1,45,195052.5,37593.4,12.8,17.3
2010,1,1,46,130475.0,36511.2,12.5,16.6
2010,1,1,47,1221463.0,29564.4,11.8,13.6
2010,1,1,48,54931.0,46330.3,12.1,16.9
2010,1,1,49,86235.5,45100.4,12.9,19.3
2010,1,1,50,51727.5,37109.9,12.5,16.5
2010,1,1,51,10005.5,25511.5,12.2,12.1
2010,1,1,52,5145.0,25430.3,11.7,12.3
2010,1,1,53,36910.5,32006.3,13.2,15.5
2010,1,1,54,50728.0,25682.1,11.5,12.3
2010,1,1,55,32020.5,51994.1,13.2,23.2
2010,1,1,56,23430.0,29868.8,11.8,13.4
2010,1,1,57,7028.0,30394.9,12.4,13.9
2010,1,1,58,55555.5,29911.1,11.9,13.7
2010,1,1,59,25109.0,30591.5,12.4,14.5
2010,1,1,60,22045.0,22048.1,11.2,10.9
2010,1,1,61,236774.0,30201.0,12.0,13.8
2010,1,1,62,211898.0,30590.3,12.0,13.8
2010,1,1,63,70560.5,37343.7,13.0,16.4
2010,1,1,64,478039.0,31165.3,12.2,13.4
2010,1,1,65,108799.0,40232.8,12.3,16.7
2010,1,1,66,334103.5,23295.7,11.9,11.2
2010,2,1,0,4172404.5,,12.9,
2010,2,1,1,793179.0,46945.0,15.2,21.2
2010,2,1,2,631264.0,46962.1,15.4,21.6
2010,2,1,3,10832.5,44490.8,17.0,20.8
2010,2,1,4,42810.5,62372.2,16.7,29.1
2010,2,1,5,101304.5,48572.2,15.5,22.8
2010,2,1,6,61812.0,47556.1,17.6,22.1
2010,2,1,7,79711.5,72155.3,18.9,30.5
2010,2,1,8,442971.0,50926.0,15.7,26.1
2010,2,1,9,164355.5,46257.7,17.3,23.2
2010,2,1,10,93342.0,29499.3,17.9,14.3
2010,2,1,11,1043051.5,29668.8,16.7,14.1
2010,2,1,12,17615.0,33410.1,17.9,16.8
2010,2,1,13,68717.5,46923.2,17.1,22.0
2010,2,1,14,160246.0,32907.9,16.3,16.2
2010,2,1,15,83215.0,80214.8,18.8,32.9
2010,2,1,16,209149.0,36278.3,15.6,17.2
2010,2,1,17,240529.5,35365.9,14.0,18.0
2010,2,1,18,31848.5,34813.5,15.1,16.8
2010,2,1,19,9500.5,36653.7,15.0,17.1
2010,2,1,20,114937.0,43497.5,15.1,20.7
2010,2,1,21,945387.0,31297.6,13.7,14.9
2010,2,1,22,400593.5,27245.3,13.8,13.6
2010,2,1,23,208187.5,22390.1,13.3,11.3
2010,2,1,24,68215.0,26926.7,14.0,13.4
2010,2,1,25,195749.0,28434.4,13.4,14.2
2010,2,1,26,4337.0,25034.7,13.1,12.9
2010,2,1,27,13997.0,26119.9,13.5,13.0
2010,2,1,28,16731.5,29417.3,12.8,14.8
2010,2,1,29,145240.0,26380.3,13.1,12.9
2010,2,1,30,370976.5,28835.6,13.7,14.1
2010,2,1,31,297401.0,26871.5,13.8,13.4
2010,2,1,32,102896.5,12980.9,11.1,7.2
2010,2,1,33,3494.5,47234.3,14.2,19.4
2010,2,1,34,51732.0,43723.1,14.6,20.3
2010,2,1,35,29490.0,30333.7,13.5,14.4
2010,2,1,36,562738.5,16216.3,12.7,8.9
2010,2,1,37,476704.0,20819.9,12.9,10.8
2010,2,1,38,59076.5,15571.1,11.5,8.3
2010,2,1,39,404627.0,20958.2,13.4,10.9
2010,2,1,40,7860.5,26975.7,13.4,11.4
2010,2,1,41,29015.0,12025.3,10.8,5.6
2010,2,1,42,41047.0,18172.9,12.7,9.1
2010,2,1,43,1565.0,26780.7,14.4,12.4
2010,2,1,44,10974.5,33914.2,13.0,15.5
2010,2,1,45,10183.5,34546.5,13.9,16.3
2010,2,1,46,7184.0,30505.1,13.3,15.3
2010,2,1,47,23038.5,25400.3,12.4,12.1
2010,2,1,48,722.0,35054.9,13.5,15.2
2010,2,1,49,17038.5,36845.2,13.6,16.5
2010,2,1,50,2015.5,24489.6,12.4,10.8
2010,2,1,51,754.5,19550.3,11.9,9.6
2010,2,1,52,3979.5,17079.7,12.7,8.7
2010,2,1,53,106961.5,27428.1,13.5,14.1
2010,2,1,54,26452.5,18271.4,12.2,9.4
2010,2,1,55,1431.0,56659.2,13.7,25.7
2010,2,1,56,3428.5,21714.4,12.3,10.4
2010,2,1,57,945.5,15707.2,11.8,7.5
